"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"PTPRF",6.88005085522038,4.51442940369628,3.07047806683438,6.94317165865007,2.65936995194536,4.16654611024047,3.83260276776805,4.4342973601122,7.04832802137827,3.46440612154403,1.82914581810721,3.48296924976536,3.51666024625313,2.3588757695392,7.72966659123272,5.31255293294906,7.34445597728914,5.6659385620862,-1.93023177002537,-1.65752227843461
"ZNF697",2.8823820283487,3.81005238436717,3.53455249655099,4.35047929043204,3.88980942316582,5.34151736602204,5.20417374906146,5.88622643663082,3.86166714176658,3.47027763445511,5.45014297742882,4.99319263950315,5.98093817222178,4.72772341255435,2.62820764688085,3.66371201190212,3.17675814294553,4.42541959530872,1.68805099636605,1.78099456890478
"EPHX1",4.62422290280509,5.23767982859121,4.99277129054407,1.55409162602048,4.8316131808964,4.79523715581672,5.22323800564914,7.05850474880658,3.20030722470638,5.84052665123609,6.13433573027175,5.10388279711434,7.61225519268151,4.82463829697005,5.28454997937308,7.10682755992844,5.86453203224678,4.43949209392347,6.90452084103223,7.52157952788171
"SLC20A1",7.0787196371644,6.10750201280213,6.75873556894343,6.35193877159266,6.04426522763228,8.0991217107082,7.75326771184317,5.69335964294052,7.65934808936653,5.07965313329314,8.54457005597644,7.51610376608645,6.73635751663547,6.75096251858864,8.3902478355081,7.07503348545494,6.43147812298606,6.93011878926975,5.64608803766552,5.62869254545478
"PLIN2",8.07627614924903,4.82554556679525,5.17587074242014,6.5003552776947,4.46479389813394,6.95969677471794,6.29118843314476,5.67467214762693,4.97613027938933,6.5628879717052,4.91951381432393,5.13641323273293,6.21086808241413,5.37094126469181,4.38733430170166,6.93089548249128,6.09545083707787,6.49131336022961,6.35966100420841,6.71055640909257
"GSTO1",7.50081775392273,9.4680103105289,9.30310948198604,8.54034209501846,9.20830832027676,9.99786191330544,7.04385541310369,9.21409599254373,7.70040490754807,7.97424972693181,8.9944658008474,8.19609190674789,9.56308906258234,8.95614506792858,7.10213585263398,6.87678582076333,7.29937943156636,8.22327265188513,7.21738826135773,7.22836790075457
"RGS10",5.42785011897415,8.06941003562704,7.8273731584797,6.8819990731299,7.37373280443526,8.01711153413673,5.30670013195111,7.25994749038275,7.00830181764314,4.68115523783899,6.06429460595055,6.47965279937674,7.83587510840479,8.94296616048617,5.88012417000038,5.01460025487585,5.74741946008558,5.81251485123462,4.35942329489467,4.49375573452743
"JPH2",-0.918400043459284,-2.71603848625985,-2.52792149683947,-3.32192809488736,-2.72202120536667,-3.32192809488736,-1.89591780337922,-3.20142734231333,1.72135884022238,-2.50697666179237,-2.2556149904829,-2.70776185374994,-2.39244693179436,-3.32192809488736,0.520964353473693,-2.2503521967438,-2.80781025053608,-1.91207391067778,1.62333313833247,1.66562074357992
"LATS2",2.79381833223613,3.64657240489539,3.67674834099161,2.56161970818499,3.27893949353579,2.10770967962177,2.8445697128039,4.21089905115788,3.79787575948751,3.30874697579753,2.51463279422226,2.76484725483996,4.06957972934007,2.66461215152061,3.26460517537476,3.24343676128454,2.98513892490922,3.43355967855901,4.13375486152339,3.88126558965875
"CRIM1",6.39289549738555,-1.11282135810031,-1.82919958423938,5.94553571335873,1.96577184922128,0.742221443662013,2.872146678207,1.14664270526633,6.63224010039043,3.79455058570628,3.48042478297909,2.0226609585651,1.20285110508386,-1.30033283608617,7.08086326024841,5.34322951096318,4.99038394602343,4.0200081973202,4.14994551641951,4.265951219169
"TMEM251",3.2109684122115,5.31133425097294,5.19654293458811,2.97044691958113,4.2901656652441,5.10724848184273,4.49381884039739,4.51207763249225,3.62560312607106,4.87304342594252,4.83551326996533,4.8070896640048,5.47798859234753,4.32157654173023,2.66804187576046,2.68748924427442,3.40575656300814,4.06156473122896,3.79326165402215,3.89278411783603
"MMP14",5.25290367570157,8.87976422775261,8.45839325914981,7.19250173389774,8.01907081030331,8.37430785970169,9.42195151045017,9.62647314205876,7.29465183750219,8.07555431223352,8.28442022584701,9.05819017507443,7.98008643101605,8.48324379444132,8.57925944065948,6.43346531418822,7.82774493450615,7.71074744000243,6.59672411007967,6.29589861744632
"B4GALT5",5.56174237985089,6.30919328849451,6.29260877822129,5.39517946965347,5.12847579715262,5.85044581957684,6.28130350975893,5.64822585475823,4.78423286594054,5.04234984404061,5.48071072859152,6.30737986122546,5.42867237183299,5.65530350835983,5.32896048547721,7.24108463874353,4.85473698946243,5.53885078801408,3.96317942249751,3.97504602474816
"AGL",2.04587629570035,2.21927335457822,2.28057368289452,2.37068734978392,2.41066211984807,1.90574646231837,0.847923558492221,2.72517675926867,1.5216008811266,2.32419936174315,2.08194410562265,1.61342824179114,2.20504668861593,2.06786311107381,1.50595729323384,2.40517514538764,1.45477548125222,2.17691222844383,4.30517720825081,4.55547197147361
"TGFBR2",4.18732893723023,2.95812285579194,3.16609390634236,6.8382203487363,4.07685758002876,3.99203361743028,6.42148584305873,4.32144846184205,5.34197091112204,4.87883692674942,4.68940769473164,6.32116176886172,4.60333690791533,3.66296397194034,5.61259178560345,6.32947377598966,4.5389201628105,4.39293185933485,4.00920791758217,3.86694571931503
"HPS3",3.00574029675435,5.68373245319018,6.09605770148614,3.86799323477051,5.25500567042158,5.93495707490874,3.80842052681358,4.706434487222,6.17535875813408,5.57522658384817,3.73541615018282,3.46572406951166,6.22022119949516,5.81703361495403,4.06286668670888,6.12878666018205,4.7084941183757,5.11779597348222,4.45824962376679,5.17803147676698
"CAMLG",5.3118688119062,4.97078130620727,4.62863970827883,5.46717263699906,5.10818851926831,4.9892946949207,3.61138013299734,3.69595720030322,5.30409564592182,5.02453621470162,4.45166020531418,5.07750977674952,5.92100891027656,5.47398396670629,4.2727578205672,5.23244923861108,4.35574172221532,4.18466090596633,4.40912408584504,4.46686546117062
"HEY1",1.19108575995142,4.68459854797098,4.81012510283327,-0.403499548627201,2.60631531613329,5.61195757430426,5.43505246008139,4.29535037498828,0.746050779745652,2.70969882548912,4.9338686017246,5.32190543599567,6.35434770575026,6.33618056457514,3.36263611116436,6.00881639630875,3.57524671991359,3.58313353572828,-1.46955138173776,-1.28435535126533
"DLC1",4.68955943488742,1.10396582370415,0.851980251449255,5.98103918644383,2.13472131732947,3.94298881150507,3.69291583629249,3.35795733157148,5.10925765921392,5.11015548510768,3.21595410343054,3.52894108191348,4.22405493519063,4.3972748638729,6.16309940984567,3.89895150283528,4.83595650100198,4.81806663318394,3.05629476594538,2.92222855089968
"SPTSSA",3.98736532415281,4.83186963437424,4.51560860191985,3.31759021913467,4.7177441184075,3.76744382033892,5.01445788741874,4.86745763132203,4.06756387639184,5.8811286880928,4.09241564302282,4.95426302316854,4.99785089373972,4.48518581531464,4.91440915754345,5.73033445447709,5.02570093568313,4.35229834736943,6.17646330545307,6.14424882770219
"KRT80",6.19732079351722,-2.64356125108383,-2.6656671100832,1.02125304283427,-2.86635986552952,-2.44667045597151,-2.80442508370193,-1.89935311416263,4.95470232218149,-2.09030768403484,-2.58244725824311,-2.90693770788564,-2.8542423402701,-2.83387706667751,1.3570756517746,0.965473085606385,1.30164953826385,2.87464435973942,3.70726837899443,3.63773901132996
"MGAT5B",3.29643286532202,3.91791991360021,3.21623596529434,5.07954497267873,5.01942368059867,3.45888083050782,2.63756765324413,4.06790694860915,1.65362548766969,3.93512349607445,3.46108417609785,1.98509248495879,3.69485589910936,-1.58102721199349,4.0890606291545,2.81418501419831,-1.42655487770578,4.49751771768977,-3.32192809488736,-2.76179721447696
"LMBRD1",2.56774708803616,3.63609832143234,3.65470274383618,4.56806735925746,4.51963817888086,3.94168368355474,4.33602079739931,3.60229138432826,3.17739135893633,3.4358791867014,4.01647028301609,4.97150678892247,4.22653607909367,4.53560443520056,4.74356123073684,4.25902989900781,3.25009165636039,3.76788151556324,5.55091755732062,5.53871056406625
"DTYMK",6.55081276868059,6.53009952762931,7.01787298518938,6.22959193083229,7.22303330132654,7.6326245731163,6.65283003616739,6.33049978114877,6.60738327143774,5.60190934943393,7.10911393681495,6.72593742222463,6.9666849064461,7.2511954074114,6.58015100268951,6.73699063152016,6.44226737667494,7.26508263815444,7.15229443109649,7.0141823464376
"B3GNT2",3.05939012551552,4.55456604251996,4.67570766075907,4.78297689116729,3.59344188049701,4.50392381910338,4.55904473336293,4.90599993885808,3.20149981525895,4.44516952890734,4.41338914363604,5.33912369060495,4.19447303359881,3.87660459498636,3.68002042940758,3.21969973059554,3.00137113960123,4.13435243523302,3.50323999818288,3.64646218177848
"THOP1",6.35787143696158,6.83245380074449,6.81161865164815,5.86629649683459,6.89868070492895,7.0899767580621,6.0093661320703,6.32337539617219,6.59057115017117,6.47709928796434,6.07453055480621,5.8076762148192,6.19841706760316,6.12125966907416,6.32398049608111,6.19821565671005,6.38240137662016,6.73327487955543,5.07437986471435,5.06672291615315
"NBEA",0.110015044187847,1.55025845475863,1.78945481122092,2.01181700881621,1.45410229530131,0.477802919979095,1.48299364770075,0.737867347495351,0.352806139660465,2.09661120194493,0.648847424878935,2.74078410943172,0.717884674119721,1.74309962312499,3.12720773421853,-0.387823172774859,1.89222653963148,1.62739058999204,2.83697385040782,2.74136332172765
"HRAS",5.21510788506378,4.88785097769583,4.74489443789851,5.03895088124951,6.00560977542184,5.546651491574,5.15062190975616,4.80472919818419,5.01588224362426,5.40288552584549,4.86090314877132,4.72478363713684,3.61325688448671,4.6136912440276,5.53618479397804,4.15438927964443,5.1990711953382,5.32402943650026,6.39137190562486,6.53712580524301
"FOSL1",8.02013911596018,5.59407512290261,4.32856571660216,8.19726522770519,6.09879041991774,5.95739952944991,7.84242298095379,6.6689737525029,8.52054257826546,-2.51129569058213,6.34028207251748,5.70668719864486,4.12962524073109,3.12996649675518,8.44070791514096,4.91380540889117,6.57431933361809,7.56235532289924,4.80189126576144,4.89264864222211
