"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"COX7A2",9.13677086617451,9.08077875614198,9.09306768564801,9.07134952816587,9.50123315712487,9.50449871844109,8.83396432135258,9.06366465788883,9.1925260545204,9.68571032662081,8.98353851518845,9.58888695333894,9.5474983174018,9.24462518960458,9.16000790661613,9.31737614141532,8.72786668109729,9.14528276845433,8.90109716553233,8.9153137806395,9.1509733079048
"HSPA9",8.17038216668121,8.06253446833053,8.00805599337581,7.9934904557315,8.07672116453124,8.38244968704418,7.9387061274653,7.51799104654129,8.55974619094683,8.64349777528775,8.51241948849082,7.9171770084787,9.54352937597329,8.48287662029179,7.76059856869339,7.8343249437044,7.32899450714768,8.12289477301379,9.20528300932072,9.41516834124187,9.15177225624558
"SPARC",10.5992362450405,10.0376295653613,9.92657041609133,9.61920097105012,10.1748575053376,11.8335866909366,12.4488590580229,11.7786023535095,8.38875978837632,11.8372435095444,11.9722867410383,12.1539069690107,11.3857758459818,11.8838402968651,12.7437496991499,9.50135807273465,12.1157529709075,10.8610939506364,8.82766791850088,8.98561983936386,8.70971912641067
"SUB1",9.11302588897673,8.5630379851753,9.03684979818562,9.72440407871692,7.94531330677867,7.8757880288563,7.1995688505807,8.47328794482045,9.00189999826848,9.1163609452106,8.27944732730716,8.0458548293672,8.90457431301283,8.33488597005894,7.90118518019858,8.64113294647909,8.8439113602706,7.84149547629567,8.40440760583095,8.52340686736965,8.63125438148496
"SKP1",9.10588482210004,8.76088196983061,8.67166927510922,8.32874110334083,8.74895291899376,9.10450977375424,8.24950314600973,7.40750701518992,9.34815603881329,8.97909093793418,8.76713096944244,8.53434158351632,9.29445744423897,8.87262776733668,8.83838111937426,9.17320021757195,8.71747015170122,8.69260800081326,8.0258963210251,8.06679423833064,8.20016946575112
"ATP6V0E1",6.99967656797087,8.04987179157165,7.76139569874445,7.12711273029771,8.20759799562224,9.25408984023186,8.07804438353536,8.79787156512307,7.31829101823483,9.57049011109074,8.4484039277475,7.69070626508165,9.26824878315098,7.37918388900362,8.51605832458358,8.44896919700615,7.64803237427984,8.3310960691264,7.45557066638219,7.4830458250469,7.62870817679329
"SSR3",7.21380992787502,7.74484563320726,7.64252346805797,9.76919957423234,8.02946605303048,8.98869062738635,7.90382291149406,7.75521249753598,9.98434606411217,7.91646750236063,8.28918067306966,8.33982064862016,8.90485862964102,7.60896202806934,8.09881238026166,7.36009975445256,7.71674147856305,8.08990434285767,8.11885714903167,8.22989258721574,8.18745496636345
"EEF1B2",9.09473666346833,9.03220509634852,8.90513465125776,10.1845278612697,9.23388660202114,8.44698899263591,7.39770406692212,8.71557618602815,9.4234506990725,7.93941319865423,8.29549668290334,8.43515571814289,8.63085234389371,8.91319870151592,7.45876087144727,8.98608588430385,8.00472526367331,8.66309808066835,10.9100181175538,10.9090146507209,11.0111265004505
"NCL",10.2929922526577,10.3863743219201,10.4624335852459,9.75514329397463,9.92550303011475,10.2768972901299,9.69382667769332,10.3148664873163,10.1832079107963,10.0099973171687,10.2348304167836,9.62652774135575,10.1259275932817,9.78866382312465,9.51158529249809,10.2791459568267,9.57876044637191,10.1650015295782,9.20513364058672,9.47353398169346,9.16428017754868
"RTN4",8.09107776368862,8.09688300674685,8.01460156366985,10.0790632915478,8.09345443077477,8.59244970090681,8.18178895590515,7.92749847741457,8.57085704507896,8.19799162691471,8.2483351905581,8.40083782079637,8.45974752725277,7.94611145161825,8.58756372483196,8.96334058165006,8.23442726380588,8.19048990020897,7.5886138594379,7.55758836784169,7.56024177810406
